"","model_numbers","hidden","rate","l1","epochs","train_error","test_error","train_mse","test_mse","activation","input_dropout_ratio","mse_errors","mean_per_class_error"
"13",0,"100, 100",0.005,0,7.81973818117575,0,0.102299633333398,0.000211687650602269,0.0922715047953849,"Rectifier",0,0.000211687650602269,0
"3",1,"100, 100",0.005,0,10.7000604812292,0.0466475900361378,0.0906940563706786,0.0416858753185948,0.0851928199436389,"RectifierWithDropout",0,0.0416858753185948,0.0466475900361378
"10",2,"100, 100",0.005,0,8.00949634299696,0,0.0943543984770693,6.3249603337678e-05,0.0866077491016031,"Tanh",0,6.3249603337678e-05,0
"6",3,"100, 100",0.005,0,10.8020313568365,0.0392716957636549,0.106446338628016,0.0334783131499936,0.0935817217995529,"TanhWithDropout",0,0.0334783131499937,0.0392716957636549
"15",4,"150, 150",0.005,0,9.18677255117187,0,0.0907086326286472,1.59504444154602e-06,0.0845906623395633,"Rectifier",0,1.59504444154602e-06,0
"2",5,"150, 150",0.005,0,10.7118455607851,0.0351236631741049,0.0806547349260776,0.0306405735036097,0.0763721954546262,"RectifierWithDropout",0,0.0306405735036098,0.0351236631741049
"11",6,"150, 150",0.005,0,7.01775600656286,0,0.096466849279721,0.000187078789884666,0.0834135702112378,"Tanh",0,0.000187078789884666,0
"9",7,"150, 150",0.005,0,10.7000262120908,0.024999393628593,0.0950169108554202,0.018503739024458,0.0827239363673021,"TanhWithDropout",0,0.018503739024458,0.024999393628593
"14",8,"100, 100",0.005,0,10.4413302858048,0.00105576912362806,0.0841645121858548,0.000802551547813822,0.0778576019744041,"Rectifier",0.2,0.000802551547813822,0.00105576912362806
"1",9,"100, 100",0.005,0,10.6197118351924,0.0543467839658402,0.0994630444319885,0.0513305427000295,0.0893845093865735,"RectifierWithDropout",0.2,0.0513305427000295,0.0543467839658402
"8",10,"100, 100",0.005,0,10.5379337248601,0.00101610330812368,0.084134143428778,0.00142906379226811,0.0763160171435681,"Tanh",0.2,0.00142906379226811,0.00101610330812368
"5",11,"100, 100",0.005,0,10.6881853553273,0.0459402298704987,0.100262018002701,0.0383070377837155,0.0933861542510072,"TanhWithDropout",0.2,0.0383070377837155,0.0459402298704987
"16",12,"150, 150",0.005,0,10.0711880839239,0,0.0864697783067018,0.000752973035491872,0.0746857078201782,"Rectifier",0.2,0.000752973035491874,0
"4",13,"150, 150",0.005,0,10.715751199362,0.0501769895786442,0.0904933937697913,0.0432451095952296,0.0802472809443134,"RectifierWithDropout",0.2,0.0432451095952296,0.0501769895786442
"12",14,"150, 150",0.005,0,10.5147023841826,0.000478468899521531,0.0887737533257554,0.000705316539191187,0.0774892247238798,"Tanh",0.2,0.000705316539191187,0.000478468899521531
"7",15,"150, 150",0.005,0,10.7158535112958,0.0286888103790871,0.103185209397546,0.0241828675487142,0.08843002432062,"TanhWithDropout",0.2,0.0241828675487141,0.0286888103790871
